Health Region,Health District
Alaotra-Mangoro,Ambatondrazaka
Alaotra-Mangoro,Amparafaravola
Alaotra-Mangoro,Andilamena
Alaotra-Mangoro,Anosibe-An'ala
Alaotra-Mangoro,Moramanga
Ambatosoa,Mananara Avaratra
Ambatosoa,Maroantsetra
Amoron'i Mania,Ambatofinandrahana
Amoron'i Mania,Ambositra
Amoron'i Mania,Fandriana
Amoron'i Mania,Manandriana
Analamanga,Ambohidratrimo
Analamanga,Andramasina
Analamanga,Anjozorobe
Analamanga,Ankazobe
Analamanga,Antananarivo-Atsimondrano
Analamanga,Antananarivo-Avaradrano
Analamanga,Antananarivo-Renivohitra
Analamanga,Manjakandriana
Analanjirofo,Fenoarivo-Atsinanana
Analanjirofo,Nosy Boraha
Analanjirofo,Soanierana-Ivongo
Analanjirofo,Vavatenina
Androy,Ambovombe-Androy
Androy,Bekily
Androy,Beloha
Androy,Tsihombe
Anosy,Amboasary-Atsimo
Anosy,Betroka
Anosy,Taolagnaro
Atsimo-Andrefana,Ampanihy
Atsimo-Andrefana,Ankazoabo-Atsimo
Atsimo-Andrefana,Betioky-Atsimo
Atsimo-Andrefana,Morombe
Atsimo-Andrefana,Sakaraha
Atsimo-Andrefana,Toliara I
Atsimo-Andrefana,Toliara II
Atsimo-Atsinanana,Befotaka
Atsimo-Atsinanana,Midongy-Atsimo
Atsimo-Atsinanana,Vangaindrano
Atsimo-Atsinanana,Vondrozo
Atsinanana,Antanambao-Manampotsy
Atsinanana,Mahanoro
Atsinanana,Marolambo
Atsinanana,Toamasina I
Atsinanana,Toamasina II
Atsinanana,Vatomandry
Atsinanana,Vohibinany
Betsiboka,Kandreho
Betsiboka,Maevatanana
Betsiboka,Tsaratanana
Boeny,Ambato-Boeni
Boeny,Mahajanga I
Boeny,Mahajanga II
Boeny,Marovoay
Boeny,Soalala
Bongolava,Fenoarivo-Afovoany
Bongolava,Tsiroanomandidy
Diana,Ambanja
Diana,Ambilobe
Diana,Antsiranana I
Diana,Antsiranana II
Diana,Nosy Be
Fitovinany,Ikongo
Fitovinany,Manakara-Atsimo
Fitovinany,Vohipeno
Ihorombe,Iakora
Ihorombe,Ihosy
Ihorombe,Ivohibe
Itasy,Arivonimamo
Itasy,Miarinarivo
Itasy,Soavinandriana
Matsiatra Ambony,Ambalavao
Matsiatra Ambony,Ambohimahasoa
Matsiatra Ambony,Fianarantsoa I
Matsiatra Ambony,Ikalamavony
Matsiatra Ambony,Isandra
Matsiatra Ambony,Lalangina
Matsiatra Ambony,Vohibato
Melaky,Ambatomainty
Melaky,Antsalova
Melaky,Besalampy
Melaky,Maintirano
Melaky,Morafenobe
Menabe,Belon'i Tsiribihina
Menabe,Mahabo
Menabe,Manja
Menabe,Miandrivazo
Menabe,Morondava
Sava,Andapa
Sava,Antalaha
Sava,Sambava
Sava,Vohemar
Sofia,Analalava
Sofia,Antsohihy
Sofia,Bealanana
Sofia,Befandriana Avaratra
Sofia,Mampikony
Sofia,Mandritsara
Vakinankaratra,Ambatolampy
Vakinankaratra,Antanifotsy
Vakinankaratra,Antsirabe I
Vakinankaratra,Antsirabe II
Vakinankaratra,Betafo
Vakinankaratra,Faratsiho
Vakinankaratra,Mandoto
Vatovavy,Ifanadiana
Vatovavy,Mananjary
Vatovavy,Nosy Varika
