Province,Health District
Autonomous Region of Bougainville,Central Bougainville
Autonomous Region of Bougainville,North Bougainville
Autonomous Region of Bougainville,South Bougainville
Central,Abau
Central,Goilala
Central,Kairuku-Hiri
Central,Rigo
Chimbu,Chuave
Chimbu,Gumine
Chimbu,Karimui-Nomane
Chimbu,Kerowagi
Chimbu,Kundiawa-Gembogl
Chimbu,Sina Sina-Yonggomugl
East New Britain,Gazelle
East New Britain,Kokopo
East New Britain,Pomio
East New Britain,Rabaul
East Sepik,Ambunti-Dreikikir
East Sepik,Angoram
East Sepik,Maprik
East Sepik,Wewak
East Sepik,Wosera-Gawi
East Sepik,Yangoru-Saussia
Eastern Highlands,Daulo
Eastern Highlands,Goroka
Eastern Highlands,Henganofi
Eastern Highlands,Kainantu
Eastern Highlands,Lufa
Eastern Highlands,Obura-Wonenara
Eastern Highlands,Okapa
Eastern Highlands,Unggai-Bena
Enga,Kandep
Enga,Kompiam-Ambum
Enga,Lagaip-Porgera
Enga,Wabag
Enga,Wapenamanda
Gulf,Kerema
Gulf,Kikori
Hela,Komo-Magarima
Hela,Koroba-Lake Kopiago
Hela,Tari-Pori
Jiwaka,Anglimp-South Waghi
Jiwaka,Jimi
Jiwaka,North Waghi
Madang,Bogia
Madang,Madang
Madang,Middle Ramu
Madang,Rai Coast
Madang,Sumkar
Madang,Usino-Bundi
Manus,Manus
Milne Bay,Alotau
Milne Bay,Esa'ala
Milne Bay,Kiriwina-Goodenough
Milne Bay,Samarai-Murua
Morobe,Bulolo
Morobe,Finschhafen
Morobe,Huon
Morobe,Kabwum
Morobe,Lae
Morobe,Markham
Morobe,Menyamya
Morobe,Nawae
Morobe,Tewae-Siassi
National Capital District,Moresby North-East
National Capital District,Moresby North-West
National Capital District,Moresby South
New Ireland,Kavieng
New Ireland,Namatanai
Oro,Ijivitari
Oro,Sohe
Sandaun,Aitape-Lumi
Sandaun,Nuku
Sandaun,Telefomin
Sandaun,Vanimo-Green River
Southern Highlands,Ialibu-Pangia
Southern Highlands,Imbonggu
Southern Highlands,Kagua-Erave
Southern Highlands,Mendi-Munihu
Southern Highlands,Nipa-Kutubu
West New Britain,Kandrian-Gloucester
West New Britain,Talasea
Western Highlands,Dei
Western Highlands,Mount Hagen
Western Highlands,Mul-Baiyer
Western Highlands,Tambul-Nebilyer
Western,Delta Fly
Western,Middle Fly
Western,North Fly
Western,South Fly
