panelName,sampleTypes,tests,isActive,sortOrder,localization:en
# tests column uses plain test names, one per member, deduplicated (rewritten 21 Sep 2026).
# Since OGC-1193/OGC-1194 panels resolve plain names; the previous augmented Test(SampleType)
# form is kept beside this file as panels-cphl.csv.augmented-backup.
AST - Acinetobacter,Biopsy|Blood Culture|Bronchial Aspirate|Bronchial Lavage|Cerebrospinal Fluid (CSF)|Cervical Swab|Endotracheal (ET) Aspirate|Faeces|Fine Needle Aspirate (FNA)|Food (Cooked)|Food (Raw)|Gastric Aspirate|Genital Swab|High Vaginal Swab|IDC|In/Out Urine|Isolate|Low Vaginal Swab|Lymph Node|MSU|Nasopharyngeal Aspirate (NPA)|Nasopharyngeal Swab|Oropharyngeal Swab|Pericardial Effusion|Pericardial Fluid|Peritoneal Fluid|Pus/Wound Swab|Sputum|Stool|Throat Swab|Tissue|Tongue Swab|Ulcer Swab|Urethral Swab|Urine|Water (Treated)|Water (Untreated - Raw)|Whole Blood,Amikacin AK|Amikacin AK Zone Diameter mm|Ciprofloxacin CIP|Ciprofloxacin CIP Zone Diameter mm|Gentamicin CN|Gentamicin CN Zone Diameter mm|Meropenem MEM|Meropenem MEM Zone Diameter mm|Tobramycin TOB|Tobramycin TOB Zone Diameter mm|Trimethoprim-sulfamethoxazole SXT|Trimethoprim-sulfamethoxazole SXT Zone Diameter mm,Y,1,AST - Acinetobacter
AST-B.cepacia cx,Biopsy|Blood Culture|Bronchial Aspirate|Bronchial Lavage|Cerebrospinal Fluid (CSF)|Cervical Swab|Endotracheal (ET) Aspirate|Faeces|Fine Needle Aspirate (FNA)|Food (Cooked)|Food (Raw)|Gastric Aspirate|Genital Swab|High Vaginal Swab|IDC|In/Out Urine|Isolate|Low Vaginal Swab|Lymph Node|MSU|Nasopharyngeal Aspirate (NPA)|Nasopharyngeal Swab|Oropharyngeal Swab|Pericardial Effusion|Pericardial Fluid|Peritoneal Fluid|Pus/Wound Swab|Sputum|Stool|Throat Swab|Tissue|Tongue Swab|Ulcer Swab|Urethral Swab|Urine|Water (Treated)|Water (Untreated - Raw)|Whole Blood,Amox-clav AMC|Amox-clav AMC Zone Diameter mm|Ceftazidime CAZ|Ceftazidime CAZ Zone Diameter mm|Chloramphenicol C|Chloramphenicol C Zone Diameter mm|Meropenem MEM|Meropenem MEM Zone Diameter mm|Trimethoprim-sulfamethoxazole SXT|Trimethoprim-sulfamethoxazole SXT Zone Diameter mm,Y,2,AST - B.cepacia complex
AST - B.pseudomallei,Biopsy|Blood Culture|Bronchial Aspirate|Bronchial Lavage|Cerebrospinal Fluid (CSF)|Cervical Swab|Endotracheal (ET) Aspirate|Faeces|Fine Needle Aspirate (FNA)|Food (Cooked)|Food (Raw)|Gastric Aspirate|Genital Swab|High Vaginal Swab|IDC|In/Out Urine|Isolate|Low Vaginal Swab|Lymph Node|MSU|Nasopharyngeal Aspirate (NPA)|Nasopharyngeal Swab|Oropharyngeal Swab|Pericardial Effusion|Pericardial Fluid|Peritoneal Fluid|Pus/Wound Swab|Sputum|Stool|Throat Swab|Tissue|Tongue Swab|Ulcer Swab|Urethral Swab|Urine|Water (Treated)|Water (Untreated - Raw)|Whole Blood,Amox-clav AMC|Amox-clav AMC Zone Diameter mm|Ceftazidime CAZ|Ceftazidime CAZ Zone Diameter mm|Chloramphenicol C|Chloramphenicol C Zone Diameter mm|Meropenem MEM|Meropenem MEM Zone Diameter mm|Trimethoprim-sulfamethoxazole SXT|Trimethoprim-sulfamethoxazole SXT Zone Diameter mm,Y,3,AST - B.pseudomallei
AST - Enterococcus,Biopsy|Blood Culture|Bronchial Aspirate|Bronchial Lavage|Cerebrospinal Fluid (CSF)|Cervical Swab|Endotracheal (ET) Aspirate|Faeces|Fine Needle Aspirate (FNA)|Food (Cooked)|Food (Raw)|Gastric Aspirate|Genital Swab|High Vaginal Swab|IDC|In/Out Urine|Isolate|Low Vaginal Swab|Lymph Node|MSU|Nasopharyngeal Aspirate (NPA)|Nasopharyngeal Swab|Oropharyngeal Swab|Pericardial Effusion|Pericardial Fluid|Peritoneal Fluid|Pus/Wound Swab|Sputum|Stool|Throat Swab|Tissue|Tongue Swab|Ulcer Swab|Urethral Swab|Urine|Water (Treated)|Water (Untreated - Raw)|Whole Blood,Amoxicillin AMX|Amoxicillin AMX Zone Diameter mm|Ampicillin AMP|Ampicillin AMP Zone Diameter mm|Nitrofurantoin F|Nitrofurantoin F Zone Diameter mm|Vancomycin VA|Vancomycin VA Zone Diameter mm,Y,4,AST - Enterococcus
AST-GN rods,Biopsy|Blood Culture|Bronchial Aspirate|Bronchial Lavage|Cerebrospinal Fluid (CSF)|Cervical Swab|Endotracheal (ET) Aspirate|Faeces|Fine Needle Aspirate (FNA)|Food (Cooked)|Food (Raw)|Gastric Aspirate|Genital Swab|High Vaginal Swab|IDC|In/Out Urine|Isolate|Low Vaginal Swab|Lymph Node|MSU|Nasopharyngeal Aspirate (NPA)|Nasopharyngeal Swab|Oropharyngeal Swab|Pericardial Effusion|Pericardial Fluid|Peritoneal Fluid|Pus/Wound Swab|Sputum|Stool|Throat Swab|Tissue|Tongue Swab|Ulcer Swab|Urethral Swab|Urine|Water (Treated)|Water (Untreated - Raw)|Whole Blood,Amikacin AK|Amikacin AK Zone Diameter mm|Amox-clav AMC|Amox-clav AMC Zone Diameter mm|Ceftazidime CAZ|Ceftazidime CAZ Zone Diameter mm|Ceftriaxone CRO|Ceftriaxone CRO Zone Diameter mm|Chloramphenicol C|Chloramphenicol C Zone Diameter mm|Ciprofloxacin CIP|Ciprofloxacin CIP Zone Diameter mm|Gentamicin CN|Gentamicin CN Zone Diameter mm|Nitrofurantoin F|Nitrofurantoin F Zone Diameter mm|Piperacillin-tazobactam TZP|Piperacillin-tazobactam TZP Zone Diameter mm|Trimethoprim-sulfamethoxazole SXT|Trimethoprim-sulfamethoxazole SXT Zone Diameter mm,Y,5,AST - Gram Negative Rods
AST - H.influenzae,Biopsy|Blood Culture|Bronchial Aspirate|Bronchial Lavage|Cerebrospinal Fluid (CSF)|Cervical Swab|Endotracheal (ET) Aspirate|Faeces|Fine Needle Aspirate (FNA)|Food (Cooked)|Food (Raw)|Gastric Aspirate|Genital Swab|High Vaginal Swab|IDC|In/Out Urine|Isolate|Low Vaginal Swab|Lymph Node|MSU|Nasopharyngeal Aspirate (NPA)|Nasopharyngeal Swab|Oropharyngeal Swab|Pericardial Effusion|Pericardial Fluid|Peritoneal Fluid|Pus/Wound Swab|Sputum|Stool|Throat Swab|Tissue|Tongue Swab|Ulcer Swab|Urethral Swab|Urine|Water (Treated)|Water (Untreated - Raw)|Whole Blood,Amox-clav AMC|Amox-clav AMC Zone Diameter mm|Amoxicillin AMX|Amoxicillin AMX Zone Diameter mm|Ampicillin AMP|Ampicillin AMP Zone Diameter mm|Ceftriaxone CRO|Ceftriaxone CRO Zone Diameter mm|Chloramphenicol C|Chloramphenicol C Zone Diameter mm|CRO E-test MIC|Penicillin PEN|Penicillin PEN Zone Diameter mm|Tetracycline TE|Tetracycline TE Zone Diameter mm|Trimethoprim-sulfamethoxazole SXT|Trimethoprim-sulfamethoxazole SXT Zone Diameter mm,Y,6,AST - H.influenzae
AST-MDR GN,Biopsy|Blood Culture|Bronchial Aspirate|Bronchial Lavage|Cerebrospinal Fluid (CSF)|Cervical Swab|Endotracheal (ET) Aspirate|Faeces|Fine Needle Aspirate (FNA)|Food (Cooked)|Food (Raw)|Gastric Aspirate|Genital Swab|High Vaginal Swab|IDC|In/Out Urine|Isolate|Low Vaginal Swab|Lymph Node|MSU|Nasopharyngeal Aspirate (NPA)|Nasopharyngeal Swab|Oropharyngeal Swab|Pericardial Effusion|Pericardial Fluid|Peritoneal Fluid|Pus/Wound Swab|Sputum|Stool|Throat Swab|Tissue|Tongue Swab|Ulcer Swab|Urethral Swab|Urine|Water (Treated)|Water (Untreated - Raw)|Whole Blood,Amikacin AK|Amikacin AK Zone Diameter mm|Ceftazidime CAZ|Ceftazidime CAZ Zone Diameter mm|Chloramphenicol C|Chloramphenicol C Zone Diameter mm|Meropenem MEM|Meropenem MEM Zone Diameter mm|Piperacillin-tazobactam TZP|Piperacillin-tazobactam TZP Zone Diameter mm|Tobramycin TOB|Tobramycin TOB Zone Diameter mm,Y,7,AST - Multi-Resistant GN
